index,predicted_mean
1742,0.27578471270158317
1743,0.27505772139428436
1744,0.2749549041684897
1745,0.27494036289156665
1746,0.27493830634186966
1747,0.2749380154873128
1748,0.2749379743522148
1749,0.2749379685345432
1750,0.27493796771175916
1751,0.27493796759539413
1752,0.2749379675789368
1753,0.27493796757660927
1754,0.2749379675762801
1755,0.2749379675762335
1756,0.2749379675762269
1757,0.27493796757622596
1758,0.27493796757622585
1759,0.27493796757622585
1760,0.27493796757622585
1761,0.27493796757622585
1762,0.27493796757622585
1763,0.27493796757622585
1764,0.27493796757622585
1765,0.27493796757622585
1766,0.27493796757622585
1767,0.27493796757622585
1768,0.27493796757622585
1769,0.27493796757622585
1770,0.27493796757622585
1771,0.27493796757622585
