Model,Metric_1,Metric_2,Metric_3
Linear Regression,MAE: 0.0230,RMSE: 0.0272,R²: 0.7220
Random Forest Classifier,Accuracy: 0.5129,Precision: 0.5254,F1 Score: 0.6458
