model,task,mae,rmse,r2,accuracy,precision,recall,f1,auc
Linear Regression,Regression,0.4764,0.4803,-85.3924,,,,,
Random Forest Classifier,Classification,,,,0.5186,0.5296,0.8216,0.6441,0.5002
