date,predicted_price,lower_ci,upper_ci
2024-03-28,0.27578471270158317,0.14314534556008165,0.4084240798430847
2024-03-29,0.27505772139428436,0.11056932574682449,0.43954611704174423
2024-03-30,0.2749549041684897,0.08635029738915084,0.4635595109478286
2024-03-31,0.27494036289156665,0.06528127971143965,0.48459944607169364
2024-04-01,0.27493830634186966,0.04619422409017146,0.5036823885935678
2024-04-02,0.2749380154873128,0.028588281758363726,0.5212877492162619
2024-04-03,0.2749379743522148,0.012160194685516212,0.5377157540189134
2024-04-04,0.2749379685345432,-0.003299483846701312,0.5531754209157878
2024-04-05,0.27493796771175916,-0.017944245829326855,0.5678201812528452
2024-04-06,0.27493796759539413,-0.031890813770699855,0.5817667489614882
2024-04-07,0.2749379675789368,-0.04523044278358673,0.5951063779414603
2024-04-08,0.27493796757660927,-0.058036086807243925,0.6079120219604625
2024-04-09,0.2749379675762801,-0.07036715950504296,0.6202430946576032
2024-04-10,0.2749379675762335,-0.08227281149413818,0.6321487466466051
2024-04-11,0.2749379675762269,-0.09379425311979056,0.6436701882722444
2024-04-12,0.27493796757622596,-0.10496644207804867,0.6548423772305005
2024-04-13,0.27493796757622585,-0.11581933609205891,0.6656952712445106
2024-04-14,0.27493796757622585,-0.1263788402769379,0.6762547754293896
2024-04-15,0.27493796757622585,-0.13666753549777122,0.6865434706502229
2024-04-16,0.27493796757622585,-0.1467052465944082,0.6965811817468599
2024-04-17,0.27493796757622585,-0.1565094915094526,0.7063854266619043
2024-04-18,0.27493796757622585,-0.16609584047802434,0.715971775630476
2024-04-19,0.27493796757622585,-0.17547820635870087,0.7253541415111526
2024-04-20,0.27493796757622585,-0.1846690815837312,0.7345450167361829
2024-04-21,0.27493796757622585,-0.19367973325555893,0.7435556684080107
2024-04-22,0.27493796757622585,-0.2025203650856025,0.7523963002380543
2024-04-23,0.27493796757622585,-0.21120025281336474,0.7610761879658164
2024-04-24,0.27493796757622585,-0.2197278582283299,0.7696037933807816
2024-04-25,0.27493796757622585,-0.22811092578728026,0.777986860939732
2024-04-26,0.27493796757622585,-0.23635656496797525,0.7862325001204269
