date,predicted_price
2024-03-28,0.27578471270158317
2024-03-29,0.27505772139428436
2024-03-30,0.2749549041684897
2024-03-31,0.27494036289156665
2024-04-01,0.27493830634186966
2024-04-02,0.2749380154873128
2024-04-03,0.2749379743522148
2024-04-04,0.2749379685345432
2024-04-05,0.27493796771175916
2024-04-06,0.27493796759539413
2024-04-07,0.2749379675789368
2024-04-08,0.27493796757660927
2024-04-09,0.2749379675762801
2024-04-10,0.2749379675762335
2024-04-11,0.2749379675762269
2024-04-12,0.27493796757622596
2024-04-13,0.27493796757622585
2024-04-14,0.27493796757622585
2024-04-15,0.27493796757622585
2024-04-16,0.27493796757622585
2024-04-17,0.27493796757622585
2024-04-18,0.27493796757622585
2024-04-19,0.27493796757622585
2024-04-20,0.27493796757622585
2024-04-21,0.27493796757622585
2024-04-22,0.27493796757622585
2024-04-23,0.27493796757622585
2024-04-24,0.27493796757622585
2024-04-25,0.27493796757622585
2024-04-26,0.27493796757622585
2024-04-27,0.27493796757622585
2024-04-28,0.27493796757622585
2024-04-29,0.27493796757622585
2024-04-30,0.27493796757622585
2024-05-01,0.27493796757622585
2024-05-02,0.27493796757622585
2024-05-03,0.27493796757622585
2024-05-04,0.27493796757622585
2024-05-05,0.27493796757622585
2024-05-06,0.27493796757622585
2024-05-07,0.27493796757622585
2024-05-08,0.27493796757622585
2024-05-09,0.27493796757622585
2024-05-10,0.27493796757622585
2024-05-11,0.27493796757622585
2024-05-12,0.27493796757622585
2024-05-13,0.27493796757622585
2024-05-14,0.27493796757622585
2024-05-15,0.27493796757622585
2024-05-16,0.27493796757622585
2024-05-17,0.27493796757622585
2024-05-18,0.27493796757622585
2024-05-19,0.27493796757622585
2024-05-20,0.27493796757622585
2024-05-21,0.27493796757622585
2024-05-22,0.27493796757622585
2024-05-23,0.27493796757622585
2024-05-24,0.27493796757622585
2024-05-25,0.27493796757622585
2024-05-26,0.27493796757622585
2024-05-27,0.27493796757622585
2024-05-28,0.27493796757622585
2024-05-29,0.27493796757622585
2024-05-30,0.27493796757622585
2024-05-31,0.27493796757622585
2024-06-01,0.27493796757622585
2024-06-02,0.27493796757622585
2024-06-03,0.27493796757622585
2024-06-04,0.27493796757622585
2024-06-05,0.27493796757622585
2024-06-06,0.27493796757622585
2024-06-07,0.27493796757622585
2024-06-08,0.27493796757622585
2024-06-09,0.27493796757622585
2024-06-10,0.27493796757622585
2024-06-11,0.27493796757622585
2024-06-12,0.27493796757622585
2024-06-13,0.27493796757622585
2024-06-14,0.27493796757622585
2024-06-15,0.27493796757622585
2024-06-16,0.27493796757622585
2024-06-17,0.27493796757622585
2024-06-18,0.27493796757622585
2024-06-19,0.27493796757622585
2024-06-20,0.27493796757622585
2024-06-21,0.27493796757622585
2024-06-22,0.27493796757622585
2024-06-23,0.27493796757622585
2024-06-24,0.27493796757622585
2024-06-25,0.27493796757622585
